Site,Date Time,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindDir,WindRun,HiSpeed,HiDir,WindChill,HeatIndex,THWIndex,THSWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,HeatD-D,CoolD-D,InTemp,InHum,InDew,InHeat,InEMC,InAirDensity,ET,WindSamp,WindTx,ISSRecept,ArcInt,VA
YMCA,2014-06-10 02:30,15.7,16.2,15.7,89,13.9,0,NNW,0,1,NNW,15.7,15.8,15.8,,754.6,0,0,0,0,0,0.056,0,23.8,43,10.5,23.6,8.05,0.0728,0,687,1,100,30,247.321
YMCA,2014-06-10 03:00,15.2,15.7,15.2,90,13.6,0,,0,0,,15.2,15.3,15.3,,754.8,0,0,0,0,0,0.065,0,23.4,43,10.1,23.1,8.08,0.0729,0,703,1,100,30,247.287
YMCA,2014-06-10 03:30,14.9,15.2,14.9,90,13.3,0,,0,0,,14.9,15,15,,754.6,0,0,0,0,0,0.072,0,22.9,44,10,22.4,8.28,0.073,0,700,1,100,30,248.479
YMCA,2014-06-10 04:00,14.4,14.9,14.4,89,12.7,0,,0,0,,14.4,14.5,14.5,,755,0,0,0,0,0,0.081,0,22.6,44,9.7,21.9,8.3,0.0732,0,703,1,100,30,248.571
YMCA,2014-06-10 04:30,14.2,14.4,14.1,90,12.5,0,NNW,0,1,NNW,14.2,14.2,14.2,,755.4,0,0,0,0,0,0.087,0,22.2,44,9.3,21.3,8.31,0.0733,0,693,1,100,30,248.185
YMCA,2014-06-10 05:00,14.1,14.2,14.1,91,12.6,0,,0,0,,14.1,14.1,14.1,,755.5,0,0,11,0.47,18,0.089,0,21.8,45,9.3,20.8,8.45,0.0735,0,703,1,100,30,247.627
YMCA,2014-06-10 05:30,14.1,14.1,14.1,91,12.7,0,NNW,0,2,NNW,14.1,14.2,14.2,,755.5,0,0,23,0.99,26,0.088,0,21.7,45,9.2,20.6,8.45,0.0735,0,702,1,100,30,247.303
YMCA,2014-06-10 06:00,14.4,14.4,14.1,91,12.9,0,NNW,0,2,NNW,14.4,14.4,14.4,,755.7,0,0,34,1.46,81,0.082,0,21.8,45,9.3,20.8,8.45,0.0735,0.03,703,1,100,30,246.579
YMCA,2014-06-10 06:30,15.1,15.1,14.4,86,12.7,0,N,0,2,N,15.1,15.1,15.1,,755.8,0,0,57,2.45,137,0.068,0,22.1,45,9.6,21.2,8.45,0.0734,0,689,1,100,30,246.047
YMCA,2014-06-10 07:00,16,16,15.1,77,12,0,N,0,1,N,16,15.9,15.9,,756.2,0,0,56,2.41,192,0.049,0,22.6,45,10,21.9,8.45,0.0733,0.03,703,1,100,30,244.939
YMCA,2014-06-10 07:30,17.6,17.6,16,68,11.6,0,N,0,2,N,17.6,17.4,17.4,,756.5,0,0,262,11.27,445,0.015,0,23.2,44,10.3,22.8,8.27,0.0731,0,702,1,100,30,245.226
YMCA,2014-06-10 08:00,18.4,18.4,17.7,70,12.9,0,NNE,0,2,NNW,18.4,18.4,18.4,,756.7,0,0,479,20.6,613,0,0.002,24.8,43,11.4,24.5,8.05,0.0727,0.2,702,1,100,30,244.238
YMCA,2014-06-10 08:30,19,19.1,18.5,64,12,1,WSW,0.5,6,WSW,19,18.8,18.8,,756.8,0,0,407,17.5,557,0,0.014,26.6,41,12.3,26.1,7.75,0.0722,0,701,1,100,30,245.969
YMCA,2014-06-10 09:00,19.5,19.5,18.8,62,12,1,WSW,0.5,5,WSW,19.5,19.3,19.3,,756.9,0,0,407,17.5,756,0,0.024,28.1,39,12.8,27.7,7.4,0.0718,0.25,702,1,100,30,245.68
YMCA,2014-06-10 09:30,18.9,19.6,18.9,66,12.4,2,WSW,1,8,WSW,18.9,18.9,18.9,,757.1,0,0,294,12.64,577,0,0.013,28.8,38,13.1,28.7,7.25,0.0717,0,697,1,100,30,245.344
YMCA,2014-06-10 10:00,19.6,19.7,18.9,61,11.8,1,W,0.5,6,WSW,19.6,19.3,19.3,,757.1,0,0,323,13.89,886,0,0.025,28.9,38,13.2,28.9,7.25,0.0716,0.23,702,1,100,30,245.75
YMCA,2014-06-10 10:30,20.3,20.3,19.4,58,11.7,2,W,1,11,WSW,20.3,19.9,19.9,,757.2,0,0,743,31.95,905,0,0.041,29.7,37,13.4,29.4,7.04,0.0714,0,703,1,100,30,245.518
YMCA,2014-06-10 11:00,20.9,21.1,20.3,49,9.8,2,W,1,9,W,20.9,19.9,19.9,,757.1,0,0,879,37.8,905,0,0.053,31.3,36,14.5,30.9,6.82,0.071,0.48,702,1,100,30,246.237
YMCA,2014-06-10 11:30,21.3,21.3,20.6,44,8.5,2,W,1,9,N,21.3,20.1,20.1,,757.2,0,0,909,39.09,923,0,0.061,33,33,14.6,32.9,6.42,0.0706,0,702,1,100,30,246.366
YMCA,2014-06-10 12:00,21.7,21.7,21.3,47,9.9,2,W,1,8,NW,21.7,20.8,20.8,,757.2,0,0,937,40.3,990,0,0.071,34.3,31,14.8,34.4,6,0.0702,0,702,1,100,30,246.314
YMCA,2014-06-10 12:30,21.9,22,21.7,52,11.6,2,W,1,9,NE,21.9,21.3,21.3,,757.3,0,0,973,41.84,1023,0,0.074,35.4,29,14.6,35.5,5.56,0.07,0.56,703,1,100,30,245.166
YMCA,2014-06-10 13:00,21.9,22.2,21.7,53,11.9,3,WNW,1.5,11,N,21.9,21.4,21.4,,757.3,0,0,906,38.96,1060,0,0.075,36.1,29,15.2,36.4,5.59,0.0698,0.56,702,1,100,30,245.721
YMCA,2014-06-10 13:30,21.4,21.9,21.1,54,11.7,2,WNW,1,10,NNW,21.4,20.8,20.8,,757.4,0,0,435,18.71,1055,0,0.065,35.7,28,14.3,35.7,5.37,0.07,0,703,1,100,30,244.843
YMCA,2014-06-10 14:00,22,22.1,21.4,47,10.2,3,WNW,1.5,11,W,22,21.2,21.2,,757.4,0,0,920,39.57,986,0,0.076,36.2,28,14.8,36.4,5.39,0.0699,0,702,1,100,30,245.543
YMCA,2014-06-10 14:30,22.3,22.3,21.8,44,9.4,3,W,1.5,12,NNW,22.3,21.5,21.5,,757.5,0,0,880,37.84,900,0,0.082,37.5,27,15.3,38.2,5.34,0.0695,0.46,703,5,100,30,245.066
YMCA,2014-06-10 15:00,21.8,22.2,21.7,46,9.7,3,WNW,1.5,11,NNW,21.8,20.9,20.9,,757.5,0,0,834,35.87,858,0,0.073,38.5,25,15,39.3,5.07,0.0693,0.56,702,5,100,30,244.604
YMCA,2014-06-10 15:30,21.3,21.8,21.3,49,10.2,3,WNW,1.5,12,NW,21.3,20.4,20.4,,757.8,0,0,776,33.37,803,0,0.063,39.2,24,14.9,40,4.79,0.0692,0,701,1,100,30,245.295
YMCA,2014-06-10 16:00,21.1,21.3,21,51,10.5,2,WNW,1,10,WSW,21.1,20.2,20.2,,757.8,0,0,710,30.53,754,0,0.057,39.7,23,14.7,40.4,4.61,0.0691,0.46,703,1,100,30,244.064
YMCA,2014-06-10 16:30,20.1,21.2,20.1,50,9.4,4,NNW,2,13,NNW,20.1,19.4,19.4,,758.1,0,0,638,27.44,675,0,0.037,39.7,22,14,40,4.45,0.0692,0,702,1,100,30,243.93
