iter	RMSE
0	1.534797354
1	1.51226477
2	1.493807076
3	1.474958438
4	1.455915388
5	1.438958913
6	1.423447525
7	1.410224786
8	1.397111575
9	1.385994746
10	1.37495202
11	1.366164192
12	1.355746674
13	1.347620575
14	1.340132998
15	1.332322288
16	1.326204239
17	1.319940772
18	1.313772043
19	1.30839735
20	1.303163005
21	1.298298497
22	1.29479283
23	1.290838426
24	1.287190185
25	1.282963275
26	1.27900277
27	1.276781307
28	1.273281228
29	1.270724419
30	1.268770202
31	1.266367949
32	1.263322218
33	1.260435269
34	1.257556771
35	1.255503234
36	1.252867918
37	1.250877564
38	1.248327383
39	1.246198101
40	1.243988481
41	1.242114031
42	1.24004537
43	1.238177343
44	1.235930301
45	1.234283586
46	1.232716673
47	1.230748178
48	1.229037054
49	1.227990337
50	1.226300161
51	1.224708881
52	1.223233607
53	1.22112508
54	1.219928521
55	1.218290329
56	1.216425059
57	1.214839504
58	1.213439399
59	1.212399794
60	1.211319442
61	1.210646355
62	1.209802126
63	1.209298714
64	1.207960814
65	1.207100212
66	1.205770775
67	1.205288976
68	1.204502842
69	1.203742762
70	1.202815827
71	1.201615201
72	1.201000569
73	1.20008481
74	1.199531947
75	1.198564563
76	1.197112652
77	1.196178207
78	1.195615244
79	1.194413875
80	1.193236124
81	1.192455426
82	1.192049615
83	1.191183225
84	1.190241314
85	1.189879162
86	1.189155986
87	1.187880811
88	1.1872256
89	1.186362123
90	1.185778506
91	1.185024882
92	1.184592761
93	1.18332106
94	1.18221509
95	1.181656452
96	1.180854809
97	1.180142337
98	1.179707247
99	1.179183987
100	1.178449586
101	1.178078543
102	1.176994448
103	1.17658092
104	1.175557568
105	1.174885696
106	1.174575765
107	1.174140246
108	1.173781913
109	1.172864961
110	1.172456631
111	1.172136823
112	1.171483672
113	1.170446697
114	1.169983073
115	1.168591764
116	1.167445611
117	1.166887185
118	1.166156599
119	1.165215876
120	1.164754117
121	1.16380666
122	1.163059814
123	1.162507726
124	1.161935669
125	1.161151004
126	1.160065818
127	1.159400549
128	1.158629884
129	1.158437522
130	1.157714328
131	1.157280289
132	1.156605182
133	1.155698376
134	1.155236328
135	1.15418955
136	1.153145034
137	1.152491643
138	1.151595279
139	1.150949717
140	1.150386847
141	1.15001321
142	1.149545808
143	1.148833911
144	1.147975559
145	1.147450517
146	1.147276559
147	1.146660519
148	1.146147822
149	1.144993573
150	1.144515267
151	1.143694227
152	1.142768889
153	1.141988376
154	1.141325381
155	1.14058597
156	1.140223333
157	1.139629734
158	1.13874986
159	1.138086001
160	1.137105962
161	1.136190047
162	1.135442907
163	1.134847544
164	1.134259288
165	1.133365539
166	1.133039083
167	1.132077781
168	1.131443937
169	1.130508949
170	1.129687794
171	1.129135496
172	1.128702646
173	1.127992717
174	1.127160308
175	1.126566261
176	1.125863671
177	1.125480509
178	1.125074618
179	1.124238829
180	1.123794319
181	1.122847681
182	1.121969922
183	1.120899429
184	1.120429798
185	1.12017739
186	1.119742488
187	1.118934501
188	1.118308496
189	1.117738619
190	1.11758765
191	1.117028056
192	1.116327089
193	1.115407785
194	1.114497653
195	1.113430291
196	1.11230701
197	1.111764623
198	1.111320147
199	1.110425254
200	1.109693614
201	1.10903024
202	1.108525673
203	1.107542832
204	1.107032961
205	1.106381907
206	1.105882627
207	1.105393924
208	1.104275276
209	1.103585104
210	1.103077352
211	1.102450358
212	1.102012111
213	1.101207292
214	1.100566585
215	1.100064214
216	1.099770458
217	1.099135287
218	1.098820921
219	1.09837175
220	1.097518919
221	1.0966489
222	1.09639556
223	1.095913278
224	1.095680702
225	1.095221046
226	1.094524603
227	1.094013534
228	1.093624296
229	1.093185691
230	1.092740576
231	1.09205906
232	1.091874248
233	1.091413502
234	1.090623878
235	1.089985075
236	1.089397207
237	1.089082936
238	1.088259142
239	1.087540007
240	1.087078699
241	1.086475623
242	1.086322146
243	1.085903043
244	1.085244103
245	1.084947583
246	1.084610434
247	1.084368097
248	1.084130803
249	1.083629268
250	1.08248409
251	1.081827972
252	1.081349376
253	1.080775984
254	1.080048192
255	1.079733402
256	1.078551721
257	1.077916108
258	1.076922409
259	1.076475401
260	1.076233825
261	1.075288317
262	1.075038844
263	1.074564009
264	1.07408885
265	1.072967812
266	1.072380207
267	1.07114568
268	1.070933053
269	1.070370361
270	1.070038349
271	1.069608901
272	1.069184045
273	1.068528085
274	1.068219941
275	1.067920467
276	1.067634784
277	1.067289392
278	1.066658105
279	1.066362588
280	1.065745789
281	1.065080717
282	1.064660392
283	1.064281375
284	1.063668764
285	1.063300258
286	1.062946327
287	1.0625737
288	1.062067173
289	1.061713267
290	1.061210534
291	1.060647975
292	1.059637737
293	1.05937808
294	1.058847694
295	1.058509581
296	1.057456002
297	1.056834927
298	1.056205256
299	1.055619754
300	1.055141036
301	1.054451537
302	1.053835962
303	1.053600543
304	1.052771636
305	1.052039591
306	1.051675214
307	1.051339451
308	1.051017026
