,Actual,Predicted,Difference,ABS Diff
0,247.321,247.2463543,0.07,0.07
1,247.287,246.8926238,0.39,0.39
15,245.75,245.1951207,0.55,0.55
21,245.721,244.8154373,0.91,0.91
24,245.066,245.2884715,-0.22,0.22
26,245.295,244.8879794,0.41,0.41
29,245.434,245.1911602,0.24,0.24
33,245.855,245.7459445,0.11,0.11
45,246.293,247.7105699,-1.42,1.42
53,246.785,246.5003992,0.28,0.28
58,245.517,245.0625694,0.45,0.45
61,243.382,244.2786717,-0.90,0.90
67,243.329,245.1787911,-1.85,1.85
70,243.598,245.2141358,-1.62,1.62
71,243.955,244.629772,-0.67,0.67
95,246.727,247.5923913,-0.87,0.87
103,246.401,246.5346475,-0.13,0.13
106,245.893,245.4314971,0.46,0.46
109,243.839,244.9468218,-1.11,1.11
111,244.088,245.0215843,-0.93,0.93
119,245.131,245.1139778,0.02,0.02
143,246.744,246.7747347,-0.03,0.03
148,246.973,246.9561626,0.02,0.02
153,245.804,245.0937697,0.71,0.71
156,244.304,245.0093597,-0.71,0.71
160,244.787,244.4317463,0.36,0.36
161,244.739,244.6400776,0.10,0.10
171,244.816,244.5808848,0.24,0.24
174,245.199,244.8568242,0.34,0.34
176,245.412,244.3531854,1.06,1.06
179,245.511,244.807025,0.70,0.70
185,248.114,246.5605887,1.55,1.55
186,247.679,246.4955933,1.18,1.18
194,247.933,246.337776,1.60,1.60
200,244.953,244.0330387,0.92,0.92
205,244.646,244.9314733,-0.29,0.29
206,245.204,244.8176111,0.39,0.39
214,245.903,244.8096698,1.09,1.09
218,244.138,245.0322638,-0.89,0.89
221,245.357,244.8729649,0.48,0.48
222,245.63,245.5199877,0.11,0.11
228,244.339,246.5643953,-2.23,2.23
237,246.3,246.6663578,-0.37,0.37
252,245.059,245.7991621,-0.74,0.74
254,244.083,245.7534737,-1.67,1.67
261,246.214,245.4826411,0.73,0.73
267,246.738,245.3720939,1.37,1.37
269,247.335,245.3215901,2.01,2.01
273,246.408,246.5307681,-0.12,0.12
276,246.991,247.1927199,-0.20,0.20
282,248.218,247.420945,0.80,0.80
283,248.385,247.4558211,0.93,0.93
288,248.85,247.2952459,1.55,1.55
292,246.278,246.4338695,-0.16,0.16
297,244.908,245.2232904,-0.32,0.32
298,244.52,245.8894959,-1.37,1.37
303,245.909,245.3016748,0.61,0.61
306,245.414,245.1756549,0.24,0.24
309,244.989,245.3674853,-0.38,0.38
311,244.199,245.3136575,-1.11,1.11
314,244.695,245.162716,-0.47,0.47
315,245.744,245.2567396,0.49,0.49
319,245.452,245.6975133,-0.25,0.25
320,246.99,245.08492,1.91,1.91
328,246.958,246.7923356,0.17,0.17
330,247.756,246.9901258,0.77,0.77
338,248.57,247.0318583,1.54,1.54
340,247.036,246.2509273,0.79,0.79
343,244.76,245.5237457,-0.76,0.76
344,246.644,245.3864923,1.26,1.26
353,246.663,245.4714752,1.19,1.19
361,244.508,245.2860989,-0.78,0.78
362,245.317,245.4286255,-0.11,0.11
365,245.382,245.5547129,-0.17,0.17
367,245.514,244.8854058,0.63,0.63
372,246.546,244.5930308,1.95,1.95
375,245.286,246.5590598,-1.27,1.27
376,247.222,247.445882,-0.22,0.22
377,248.251,247.6525273,0.60,0.60
381,247.497,247.9889089,-0.49,0.49
390,246.083,245.9525539,0.13,0.13
394,244.874,245.4243443,-0.55,0.55
395,245.327,244.9258599,0.40,0.40
396,245.704,244.6429244,1.06,1.06
402,245.294,244.7678069,0.53,0.53
413,245.692,245.5861433,0.11,0.11
416,245.71,245.478963,0.23,0.23
422,247.142,246.3755111,0.77,0.77
428,247.418,247.033921,0.38,0.38
432,248.007,247.0762603,0.93,0.93
433,248.379,247.0864005,1.29,1.29
434,247.953,246.8237658,1.13,1.13
437,245.184,245.7151506,-0.53,0.53
439,244.916,246.5078508,-1.59,1.59
442,243.525,243.7158054,-0.19,0.19
444,243.259,244.4699522,-1.21,1.21
445,245.084,244.2035039,0.88,0.88
449,244.66,244.6101495,0.05,0.05
452,244.883,244.8977549,-0.01,0.01
453,245.961,244.6823504,1.28,1.28
462,244.881,244.7127602,0.17,0.17
470,245.837,247.3692569,-1.53,1.53
485,246.729,245.8633134,0.87,0.87
492,245.322,245.0285272,0.29,0.29
500,245.934,245.5786685,0.36,0.36
504,244.361,245.2974394,-0.94,0.94
505,243.497,245.5351222,-2.04,2.04
507,245.616,245.667863,-0.05,0.05
508,245.796,245.4164256,0.38,0.38
516,247.326,245.7800011,1.55,1.55
517,247.249,245.6593687,1.59,1.59
520,248.113,246.0302753,2.08,2.08
522,247.879,245.844635,2.03,2.03
536,245.684,245.274048,0.41,0.41
540,245.988,245.3086763,0.68,0.68
542,245.93,245.4203329,0.51,0.51
545,245.458,245.1008467,0.36,0.36
549,245.015,245.0769684,-0.06,0.06
561,246.133,245.3586937,0.77,0.77
566,244.975,245.6012268,-0.63,0.63
567,245.948,246.1363103,-0.19,0.19
575,246.52,247.5559445,-1.04,1.04
596,246.731,244.7822973,1.95,1.95
598,244.525,244.3428549,0.18,0.18
614,246.955,246.6353431,0.32,0.32
616,246.744,246.5934523,0.15,0.15
621,248.159,247.1215576,1.04,1.04
624,246.867,247.3487085,-0.48,0.48
625,247.728,247.1428057,0.59,0.59
630,246.201,244.8838688,1.32,1.32
640,245.463,245.0372797,0.43,0.43
644,245.613,244.9058526,0.71,0.71
646,245.471,244.9197655,0.55,0.55
647,245.905,245.0190055,0.89,0.89
650,245.507,245.0443036,0.46,0.46
658,244.879,246.2330032,-1.35,1.35
660,248.019,246.1672459,1.85,1.85
664,247.621,246.1758659,1.45,1.45
666,248.387,246.2502721,2.14,2.14
667,246.094,246.2947137,-0.20,0.20
668,246.575,246.3556694,0.22,0.22
674,247.448,246.957959,0.49,0.49
675,246.866,246.4676905,0.40,0.40
685,245.388,245.109468,0.28,0.28
691,244.235,244.9377171,-0.70,0.70
697,244.614,245.0012537,-0.39,0.39
700,245.266,244.917394,0.35,0.35
701,243.242,245.1540331,-1.91,1.91
709,245.925,246.0338789,-0.11,0.11
712,248.454,246.6590652,1.79,1.79
717,247.93,246.8562812,1.07,1.07
718,246.799,247.4692711,-0.67,0.67
725,245.665,246.1629164,-0.50,0.50
733,246.145,244.8395111,1.31,1.31
734,245.345,245.2900555,0.05,0.05
739,245.693,245.2873781,0.41,0.41
744,244.643,245.6020418,-0.96,0.96
750,246.436,245.5347285,0.90,0.90
751,245.702,245.2931815,0.41,0.41
753,246.284,245.1568443,1.13,1.13
754,246.029,245.4181396,0.61,0.61
757,247.822,246.6152337,1.21,1.21
760,248.117,246.9037456,1.21,1.21
761,247.134,246.9353557,0.20,0.20
771,247.595,246.6534864,0.94,0.94
772,247.885,246.1704443,1.71,1.71
774,245.666,246.2196383,-0.55,0.55
776,245.492,245.6379755,-0.15,0.15
793,244.406,245.0025367,-0.60,0.60
797,244.369,245.4216097,-1.05,1.05
798,244.901,245.1372384,-0.24,0.24
799,245.392,245.3297844,0.06,0.06
806,247.057,246.674186,0.38,0.38
808,246.957,247.2311057,-0.27,0.27
813,248.571,247.5341954,1.04,1.04
818,246.111,246.4145559,-0.30,0.30
831,245.139,244.9515934,0.19,0.19
832,245.575,245.0267363,0.55,0.55
838,244.722,245.2359082,-0.51,0.51
839,244.877,245.3095524,-0.43,0.43
840,244.601,245.1799962,-0.58,0.58
841,244.459,245.2603114,-0.80,0.80
842,245.01,245.0186551,-0.01,0.01
843,245.13,245.5470236,-0.42,0.42
844,245.172,245.829665,-0.66,0.66
850,247.289,245.2121764,2.08,2.08
854,248.322,246.5061288,1.82,1.82
856,246.836,246.3477979,0.49,0.49
880,244.69,244.6796042,0.01,0.01
882,245.391,245.3647186,0.03,0.03
890,245.794,245.2755745,0.52,0.52
895,246.419,245.4658759,0.95,0.95
900,247.441,246.9706008,0.47,0.47
906,248.222,246.5694328,1.65,1.65
907,248.553,246.7780768,1.77,1.77
911,248.262,247.0697965,1.19,1.19
924,246.817,244.9153089,1.90,1.90
926,245.188,244.7820582,0.41,0.41
929,244.526,245.0689492,-0.54,0.54
931,244.736,245.2384712,-0.50,0.50
934,245.48,244.7909381,0.69,0.69
944,246.882,245.5444983,1.34,1.34
957,247.64,247.7065453,-0.07,0.07
969,244.341,245.3811342,-1.04,1.04
970,244.535,245.0493434,-0.51,0.51
971,243.289,244.8032247,-1.51,1.51
972,245.206,244.9089532,0.30,0.30
974,244.361,245.165389,-0.80,0.80
982,244.008,244.8261112,-0.82,0.82
984,243.956,245.1624404,-1.21,1.21
989,244.634,245.3435419,-0.71,0.71
993,246.016,245.3798214,0.64,0.64
994,246.185,245.5825086,0.60,0.60
995,246.495,245.8579556,0.64,0.64
1002,247.916,247.2915743,0.62,0.62
1005,248.08,247.4799085,0.60,0.60
1007,247.119,247.4362666,-0.32,0.32
1011,248.363,246.6553151,1.71,1.71
1015,244.722,245.2575141,-0.54,0.54
1019,246.063,245.5076654,0.56,0.56
1027,245.074,245.3083041,-0.23,0.23
1028,245.531,245.3321783,0.20,0.20
1039,246.865,245.1649433,1.70,1.70
1058,246.688,246.8112157,-0.12,0.12
1070,245.092,245.7062972,-0.61,0.61
1077,245.045,245.0521493,-0.01,0.01
1078,246.702,245.1041554,1.60,1.60
1080,245.546,245.274693,0.27,0.27
1086,245.554,245.3366673,0.22,0.22
